"query","search interest","increase percent"
"teknologi adalah",100,"20%"
"teknologi informasi",74,"10%"
"contoh teknologi",62,"60%"
"perkembangan teknologi",51,"40%"
"teknologi pendidikan",50,"20%"
"manfaat teknologi",22,"40%"
"teknologi pertanian",22,"-10%"
"dampak negatif teknologi",19,"60%"
"institut teknologi",19,"-30%"
"apa itu teknologi",19,"-10%"
"dampak positif teknologi",19,"60%"
"teknologi informasi dan komunikasi",18,"60%"
"teknologi pangan",17,"-30%"
"teknologi ai",17,"20%"
"pengertian teknologi",16,"40%"
"gambar teknologi",14,"50%"
"apa yang dimaksud dengan teknologi",13,"30%"
"teknologi ramah lingkungan",6,"40%"
"institut teknologi bandung",4,"-20%"
"jurnal teknologi informasi",4,"4%"
"pekerjaan yang berubah karena teknologi digital",4,"450%"
"teknologi finansial",4,"40%"
"contoh pekerjaan yang berubah karena teknologi digital. kemudian kompetensi baru apa yang dibutuhkan? apa dampaknya pada pendidikan tinggi? strategi apa yang sebaiknya dilakukan kampus?",4,"Breakout"
"silakan pilih satu contoh pekerjaan yang berubah karena teknologi digital. kemudian kompetensi baru apa yang dibutuhkan? apa dampaknya pada pendidikan tinggi? strategi apa yang sebaiknya dilakukan kampus?",3,"1.600%"
"institut teknologi sepuluh",3,"-50%"
"sinta",2,"-4%"
"institut teknologi indonesia",2,"-10%"
"contoh pekerjaan yang berubah karena teknologi digital",2,"300%"
"terjadinya perubahan sosial, menyebabkan munculnya teknologi media. bagaimana anda menanggapi hal ini?",2,"Breakout"
"institut teknologi sepuluh nopember",2,"-50%"
"untuk diskusi pada inisiasi 1 ini, silakan pilih satu contoh pekerjaan yang berubah karena teknologi digital. kemudian kompetensi baru apa yang dibutuhkan? apa dampaknya pada pendidikan tinggi? strategi apa yang sebaiknya dilakukan kampus?",2,"Breakout"
"universitas teknologi bandung",2,"-40%"
"stanford teknologi indonesia",2,"-10%"
"kementerian pendidikan tinggi, sains, dan teknologi republik indonesia",1,"Breakout"
"institut teknologi sumatera",1,"-70%"
"kementerian pendidikan tinggi sains dan teknologi",1,"-30%"
"universitas teknologi yogyakarta",1,"-30%"
"pt stanford teknologi indonesia",1,"30%"
"menteri pendidikan tinggi, sains, dan teknologi indonesia",1,"250%"
"institut teknologi pln",1,"-30%"
"institut teknologi surabaya",1,"-20%"
"institut teknologi kalimantan",1,"-60%"
"teknologi informasi ugm",1,"-50%"
"institut teknologi sumatera itera",1,"-50%"
"3. terjadinya perubahan sosial, menyebabkan munculnya teknologi media. bagaimana anda menanggapi hal ini?",1,"Breakout"
"secara umum, ada dua faktor utama yang menjadi tren dan yang mengarahkan perekonomian pada globalisasi besar-besaran. jelaskan kedua faktor tersebut dan berikan contohnya. jelaskan pula pandangan anda mengenai pengaruh teknologi bagi globalisasi di era digital saat ini.",1,"Breakout"
"teknologi veteriner",1,"-70%"
"apa peran teknologi dalam perkembangan kegiatan ekonomi",1,"20%"
"tantangan utama dalam menafsirkan pancasila di era globalisasi adalah",1,"Breakout"
"adicipta inovasi teknologi",0,"70%"
